provincia,prov_id,sede,tipo,localidad,comuna,direccion,direccion_detalle,loc_id,dept_id,muni_id,latitud,longitud
CIUDAD AUTONOMA DE BUENOS AIRES,2,CABALLITO,CENTRO PERIFERICO,CABALLITO,6,Juan Bautista Alberdi 439,,2042010001,2042,,-34.6227729,-58.436054
CIUDAD AUTONOMA DE BUENOS AIRES,2,FLORES 1,CENTRO PERIFERICO,FLORES,7,Av. Carabobo 148,,2049010001,2049,,-34.6285736,-58.4576917
CIUDAD AUTONOMA DE BUENOS AIRES,2,FLORES 2,CENTRO PERIFERICO,FLORES,7,Nazca 50,,2049010001,2049,,-34.6301104,-58.4703372
CIUDAD AUTONOMA DE BUENOS AIRES,2,BARRIO NORTE,CENTRO PERIFERICO,RECOLETA,1,Paraguay 1559,,2014010001,2014,,-34.5983704,-58.3913323
CIUDAD AUTONOMA DE BUENOS AIRES,2,BELGRANO 1,CENTRO PERIFERICO,BELGRANO,13,Juramento 2739,1ª Piso,2091010001,2091,,-34.5637764,-58.4620523
CIUDAD AUTONOMA DE BUENOS AIRES,2,BELGRANO 2,CENTRO PERIFERICO,BELGRANO,13,Virrey del Pino 2458 ,1ª Piso,2091010001,2091,,-34.5667813,-58.4552424
CIUDAD AUTONOMA DE BUENOS AIRES,2,CENTRO MÉDICO PALPA,CENTRO PERIFERICO,COLEGIALES,13,Palpa 2680,,2091010002,2091,,-34.5719069,-58.4505724
CIUDAD AUTONOMA DE BUENOS AIRES,2,VILLA DEL PARQUE,CENTRO PERIFERICO,VILLA DEL PARQUE,11,Cuenca 2586,,2077010001,2077,,-34.6060475,-58.4940276
CIUDAD AUTONOMA DE BUENOS AIRES,2,VILLA URQUIZA,CENTRO PERIFERICO,VILLA URQUIZA,12,Olazábal 5382,,2084010004,2084,,-34.5784642,-58.5239356
CIUDAD AUTONOMA DE BUENOS AIRES,2,LINIERS,CENTRO PERIFERICO,LINIERS,9,Av. Rivadavia 11057,,2063010001,2063,,-34.6393159,-58.5546109
BUENOS AIRES,6,SAN ISIDRO,CENTRO PERIFERICO,SAN ISIDRO,,Ituzaingó 256,,6756010005,6756,60756,-34.4696767,-58.5150997
BUENOS AIRES,6,SAN MARTIN,CENTRO PERIFERICO,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,,Ramón Carrillo 2219,,6371010003,6371,60371,-34.5752649,-58.5413578
BUENOS AIRES,6,RAMOS MEJIA,CENTRO PERIFERICO,RAMOS MEJIA,,Av. De Mayo 435,,6427010009,6427,60427,-34.6448102,-58.567396
BUENOS AIRES,6,VILLA ADELINA,CENTRO PERIFERICO,VILLA ADELINA,,Av. de Mayo 400,,6756010006,6756,60756,-34.5121786,-58.5429682
BUENOS AIRES,6,ITUZAINGO,CENTRO PERIFERICO,ITUZAINGO,,Santa Rosa 508,,6410010001,6410,60410,-34.65204,-58.6613057
BUENOS AIRES,6,MORENO,CENTRO PERIFERICO,MORENO,,Bartolomé Mitre 3410,,6560010004,6560,60560,-34.6482481,-58.7954684
BUENOS AIRES,6,CASEROS,CENTRO PERIFERICO,CASEROS,,Av. San Martín 2282,,6840010001,6840,60840,-34.603027,-58.5638809
BUENOS AIRES,6,LOMAS DE ZAMORA,CENTRO PERIFERICO,LOMAS DE ZAMORA,,España 151,,6490010003,6490,60490,-34.7626612,-58.3999592
BUENOS AIRES,6,AVELLANEDA,CENTRO PERIFERICO,AVELLANEDA,,Av. Mitre 1248,,6035010002,6035,60035,-34.6648979,-58.3621483
CIUDAD AUTONOMA DE BUENOS AIRES,2,CENTRAL,HOSPITAL,ALMAGRO,5,Pres. Tte. Gral. Juan Domingo Perón 4190,,2035010001,2035,,-34.6062093,-58.4264856
